type,label,montant,part,visible,to
recettes,Autres recettes fiscales (hors TICPE),"1245,91",24,1,409;152
recettes,Taxe Intérieure de Consommation sur les Produits Energétiques (TICPE),"1136,78",22,1,342;214
recettes,Fiscalité directe,"839,21",16,1,329;288
recettes,Emprunt,"800,12",15,1,352;348
recettes,Dotations,"628,86",12,1,392;385
recettes,Recettes diverses,"599,63",11,1,435;402
depenses,Transports et mobilités,"1503,8","35,6",1,537;171
depenses,Lycées,"774,4","18,5",1,590;255
depenses,"Formation professionnelle, apprentissage, emploi","622,0","14,8",1,582;317
depenses,"Social, santé, famille","217,4","5,2",1,565;349
depenses,"Tourisme, actions européennes et internationales","214,1","5,1",1,551;364
depenses,"Développement économique, innovation","185,9","4,4",1,537;375
depenses,Environnement et énergie,"108,3","2,6",1,524;383
depenses,Enseignement supérieur et recherche,"103,5","2,6",1,516;386
depenses,Culture,"93,0","2,2",1,506;390
depenses,Logement et politique de la ville,"92,1","2,2",1,500;392
depenses,Administration régionale,"83,7","2,0",1,491;394
depenses,Aménagement,"70,8","1,8",0,0;0
depenses,"Sports, loisirs, jeunesse, vie associative, citoyenneté","69,4","1,7",0,0;0
depenses,Agriculture et ruralité,"32,7","0,8",0,0;0
depenses,Sécurité,"21,8","0,5",0,0;0
